#format table ## [Custom WaveView] saved 00:59:01 Sat Jan 13 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 6.030E-03 , 9.205E-05 , 9.205E-05 , 9.205E-05 , 9.205E-05 , 9.205E-05 , 1.302E+00 
 6.080E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 6.130E-03 , 9.207E-05 , 9.207E-05 , 9.207E-05 , 9.207E-05 , 9.207E-05 , 1.302E+00 
 6.180E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.461E-04 
 6.230E-03 , 9.210E-05 , 9.210E-05 , 9.210E-05 , 9.210E-05 , 9.210E-05 , 1.302E+00 
 6.280E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 6.330E-03 , 9.212E-05 , 9.212E-05 , 9.212E-05 , 9.212E-05 , 9.212E-05 , 1.302E+00 
 6.380E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.458E-04 
 6.430E-03 , 9.215E-05 , 9.215E-05 , 9.215E-05 , 9.215E-05 , 1.302E+00 , 9.215E-05 
 6.480E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 6.530E-03 , 9.217E-05 , 9.217E-05 , 9.217E-05 , 9.217E-05 , 9.217E-05 , 1.302E+00 
 6.580E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 6.630E-03 , 9.220E-05 , 9.220E-05 , 9.220E-05 , 9.220E-05 , 1.302E+00 , 9.217E-05 
 6.680E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.456E-04 
 6.730E-03 , 9.222E-05 , 9.222E-05 , 9.222E-05 , 9.222E-05 , 9.222E-05 , 1.302E+00 
 6.780E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 6.830E-03 , 9.225E-05 , 9.225E-05 , 9.225E-05 , 9.225E-05 , 1.302E+00 , 9.226E-05 
 6.880E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.453E-04 
 6.930E-03 , 9.227E-05 , 9.227E-05 , 9.227E-05 , 9.227E-05 , 1.302E+00 , 9.227E-05 
 6.980E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.452E-04 
 7.030E-03 , 9.229E-05 , 9.229E-05 , 9.229E-05 , 9.229E-05 , 1.302E+00 , 9.227E-05 
 7.080E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 7.130E-03 , 9.232E-05 , 9.232E-05 , 9.232E-05 , 9.233E-05 , 1.302E+00 , 9.233E-05 
 7.180E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.450E-04 
 7.230E-03 , 9.235E-05 , 9.235E-05 , 9.235E-05 , 9.235E-05 , 1.302E+00 , 9.230E-05 
 7.280E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.450E-04 
 7.330E-03 , 9.238E-05 , 9.238E-05 , 9.238E-05 , 9.238E-05 , 1.302E+00 , 9.238E-05 
 7.380E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.448E-04 
 7.430E-03 , 1.068E-05 , 1.068E-05 , 1.068E-05 , 1.068E-05 , 1.274E+00 , 1.313E+00 
 7.480E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.447E-04 
 7.530E-03 , 9.242E-05 , 9.242E-05 , 9.242E-05 , 9.242E-05 , 1.302E+00 , 9.242E-05 
 7.580E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.446E-04 
 7.630E-03 , 1.068E-05 , 1.068E-05 , 1.068E-05 , 1.068E-05 , 1.274E+00 , 1.313E+00 
 7.680E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.778E-04 , 1.337E+00 
 7.730E-03 , 9.246E-05 , 9.246E-05 , 9.246E-05 , 9.246E-05 , 1.302E+00 , 9.243E-05 
 7.780E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.445E-04 
 7.830E-03 , 1.068E-05 , 1.068E-05 , 1.068E-05 , 1.068E-05 , 1.274E+00 , 1.313E+00 
 7.880E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.776E-04 , 1.337E+00 
 7.930E-03 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.274E+00 , 1.313E+00 
 7.980E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.775E-04 , 1.337E+00 
 8.030E-03 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.274E+00 , 1.313E+00 
 8.080E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.441E-04 
 8.130E-03 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.274E+00 , 1.313E+00 
 8.180E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.773E-04 , 1.337E+00 
 8.230E-03 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.274E+00 , 1.313E+00 
 8.280E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.772E-04 , 1.337E+00 
 8.330E-03 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.069E-05 , 1.274E+00 , 1.313E+00 
 8.380E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.562E-05 , 2.556E-05 
