#format table ## [Custom WaveView] saved 14:30:34 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 6.380E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.635E-05 
 6.430E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.289E+00 , 1.316E-03 
 6.480E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 6.530E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.289E+00 
 6.580E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 6.630E-03 , 1.317E-03 , 1.317E-03 , 1.317E-03 , 1.317E-03 , 1.289E+00 , 1.317E-03 
 6.680E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.634E-05 
 6.730E-03 , 1.317E-03 , 1.317E-03 , 1.317E-03 , 1.317E-03 , 1.317E-03 , 1.289E+00 
 6.780E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 6.830E-03 , 1.317E-03 , 1.317E-03 , 1.317E-03 , 1.317E-03 , 1.289E+00 , 1.317E-03 
 6.880E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.634E-05 
 6.930E-03 , 1.318E-03 , 1.318E-03 , 1.318E-03 , 1.318E-03 , 1.289E+00 , 1.318E-03 
 6.980E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.630E-05 
 7.030E-03 , 1.318E-03 , 1.318E-03 , 1.318E-03 , 1.318E-03 , 1.289E+00 , 1.318E-03 
 7.080E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 7.130E-03 , 1.318E-03 , 1.318E-03 , 1.318E-03 , 1.318E-03 , 1.289E+00 , 1.318E-03 
 7.180E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.635E-05 
 7.230E-03 , 1.319E-03 , 1.319E-03 , 1.319E-03 , 1.319E-03 , 1.289E+00 , 1.318E-03 
 7.280E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.637E-05 
 7.330E-03 , 1.319E-03 , 1.319E-03 , 1.319E-03 , 1.319E-03 , 1.289E+00 , 1.319E-03 
 7.380E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.633E-05 
 7.430E-03 , 1.963E-04 , 1.963E-04 , 1.963E-04 , 1.963E-04 , 1.250E+00 , 1.300E+00 
 7.480E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.631E-05 
 7.530E-03 , 1.319E-03 , 1.319E-03 , 1.319E-03 , 1.319E-03 , 1.289E+00 , 1.319E-03 
 7.580E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.625E-05 
 7.630E-03 , 1.964E-04 , 1.964E-04 , 1.964E-04 , 1.964E-04 , 1.250E+00 , 1.300E+00 
 7.680E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.914E-05 , 1.326E+00 
 7.730E-03 , 1.320E-03 , 1.320E-03 , 1.320E-03 , 1.320E-03 , 1.289E+00 , 1.320E-03 
 7.780E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.640E-05 
 7.830E-03 , 1.965E-04 , 1.965E-04 , 1.965E-04 , 1.965E-04 , 1.250E+00 , 1.300E+00 
 7.880E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.913E-05 , 1.326E+00 
 7.930E-03 , 1.966E-04 , 1.966E-04 , 1.966E-04 , 1.966E-04 , 1.250E+00 , 1.300E+00 
 7.980E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.913E-05 , 1.326E+00 
 8.030E-03 , 1.966E-04 , 1.966E-04 , 1.966E-04 , 1.966E-04 , 1.250E+00 , 1.300E+00 
 8.080E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.627E-05 
